,market_id,created_at,store_id,subtotal,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_store_to_consumer_driving_duration,delivery_id,linear_ests
75,4.0,2015-02-21 19:28:28,5081,2890,42.0,40.0,53.0,596.0,163220,2764.0
76,4.0,2015-02-20 02:04:02,5081,2345,115.0,107.0,156.0,447.0,157797,2891.0
77,4.0,2015-02-18 19:06:41,5081,3515,64.0,62.0,113.0,295.0,13337,3089.0
78,4.0,2015-02-23 05:52:08,5081,1745,18.0,14.0,13.0,545.0,6507,2493.0
79,4.0,2015-02-19 00:35:04,5081,6806,48.0,48.0,65.0,830.0,42062,3140.0
80,4.0,2015-02-18 19:48:55,5081,1700,79.0,79.0,142.0,627.0,192674,3713.0
81,4.0,2015-02-23 02:15:11,5081,2290,120.0,98.0,166.0,670.0,83456,3345.0
82,4.0,2015-02-25 05:33:11,5081,1345,24.0,21.0,21.0,439.0,226554,2367.0
83,4.0,2015-02-25 02:20:42,5081,3815,113.0,111.0,171.0,387.0,45602,3149.0
84,4.0,2015-02-19 03:55:31,5081,3395,100.0,89.0,121.0,331.0,228776,2416.0
85,4.0,2015-02-20 06:18:12,5081,1245,9.0,6.0,7.0,582.0,127211,2642.0
86,4.0,2015-02-24 18:43:28,5081,1050,34.0,18.0,18.0,688.0,139323,2437.0
87,1.0,2015-02-24 00:34:45,3994,1875,0.0,0.0,0.0,519.0,200710,3068.0
88,1.0,2015-02-21 03:48:59,3994,4600,0.0,0.0,0.0,366.0,135310,2877.0
89,1.0,2015-02-20 01:40:57,3994,5320,0.0,0.0,0.0,769.0,240727,3379.0
90,1.0,2015-02-23 03:52:37,3994,2570,0.0,0.0,0.0,880.0,12509,3517.0
91,1.0,2015-02-20 03:02:04,3994,1690,0.0,0.0,0.0,599.0,125897,3167.0
92,4.0,2015-02-25 01:12:46,6395,1584,86.0,73.0,101.0,812.0,112110,2971.0
93,4.0,2015-02-22 03:39:25,6395,824,94.0,94.0,140.0,897.0,5486,3610.0
94,4.0,2015-02-21 22:40:34,6395,1348,46.0,46.0,50.0,719.0,105831,2734.0
95,4.0,2015-02-22 04:56:56,6395,830,56.0,55.0,94.0,158.0,86840,2717.0
96,3.0,2015-02-23 02:01:58,6395,949,121.0,93.0,152.0,271.0,51034,2819.0
97,1.0,2015-02-20 03:34:22,6517,2000,27.0,27.0,33.0,275.0,225545,2756.0
98,4.0,2015-02-23 20:08:50,6584,2300,69.0,69.0,121.0,224.0,169104,3026.0
99,4.0,2015-02-18 19:19:25,6584,945,67.0,65.0,112.0,533.0,41676,3285.0
100,4.0,2015-02-25 02:10:13,4003,1570,109.0,106.0,165.0,121.0,108010,2802.0
101,4.0,2015-02-25 01:54:27,6395,1616,100.0,99.0,152.0,659.0,238500,3418.0
102,4.0,2015-02-21 22:24:03,6395,2543,53.0,51.0,56.0,860.0,103318,2866.0
103,4.0,2015-02-19 22:17:31,6395,908,30.0,30.0,29.0,603.0,30810,2563.0
104,4.0,2015-02-20 20:38:43,6395,450,101.0,86.0,124.0,484.0,235600,2671.0
105,5.0,2015-02-22 02:17:27,3654,5545,26.0,26.0,50.0,802.0,232838,3547.0
106,5.0,2015-02-23 03:13:45,3654,2498,25.0,23.0,34.0,726.0,43717,3150.0
107,5.0,2015-02-25 01:57:46,3654,3596,23.0,8.0,11.0,746.0,189723,2825.0
108,4.0,2015-02-22 00:40:19,4003,1595,51.0,51.0,73.0,334.0,145711,2613.0
109,4.0,2015-02-20 01:10:16,4003,3384,90.0,68.0,82.0,552.0,135693,2197.0
110,4.0,2015-02-20 02:21:47,4003,1475,117.0,111.0,175.0,404.0,198349,3177.0
111,2.0,2015-02-20 03:19:24,4003,1289,109.0,104.0,186.0,644.0,228537,3862.0
112,1.0,2015-02-23 00:45:03,6241,1228,4.0,4.0,5.0,169.0,195586,2633.0
113,3.0,2015-02-21 20:20:26,3155,890,21.0,21.0,17.0,311.0,246298,2436.0
114,3.0,2015-02-21 17:02:13,3155,1775,7.0,7.0,6.0,603.0,65385,2935.0
115,3.0,2015-02-20 19:38:25,3155,3490,23.0,20.0,27.0,329.0,169707,2640.0
116,3.0,2015-02-23 02:33:30,3155,3200,56.0,56.0,59.0,574.0,157796,2737.0
117,5.0,2015-02-21 03:16:23,2527,5796,31.0,30.0,46.0,519.0,107044,2984.0
118,5.0,2015-02-21 19:42:26,2527,4099,21.0,17.0,19.0,687.0,53434,2901.0
119,5.0,2015-02-23 03:32:54,2527,1099,30.0,21.0,33.0,466.0,223440,2721.0
120,5.0,2015-02-23 03:46:23,2527,1249,29.0,22.0,29.0,609.0,121112,2826.0
121,5.0,2015-02-23 20:12:59,2527,1149,19.0,19.0,37.0,281.0,145842,2805.0
122,5.0,2015-02-21 02:35:32,3654,3596,29.0,28.0,47.0,850.0,219061,3470.0
123,5.0,2015-02-21 02:59:06,3654,3197,30.0,30.0,44.0,444.0,102424,2867.0
124,3.0,2015-02-18 17:18:50,2183,1149,0.0,0.0,0.0,730.0,175748,3150.0
125,3.0,2015-02-22 23:07:03,2183,1798,0.0,0.0,0.0,681.0,193925,3088.0
126,6.0,2015-02-20 22:38:54,2652,1597,,,,149.0,39559,
127,6.0,2015-02-21 16:24:36,2652,898,,,,784.0,210792,
128,6.0,2015-02-24 17:16:19,2652,1295,,,,560.0,114490,
129,5.0,2015-02-25 00:41:44,2527,0,12.0,4.0,4.0,236.0,102883,2283.0
130,5.0,2015-02-19 03:00:32,2527,2996,26.0,21.0,28.0,385.0,169126,2592.0
131,5.0,2015-02-20 03:23:42,2527,2300,26.0,24.0,34.0,547.0,107458,2901.0
132,5.0,2015-02-22 01:07:30,2527,3555,16.0,16.0,26.0,722.0,11700,3199.0
133,5.0,2015-02-25 03:20:39,2527,2884,23.0,13.0,26.0,867.0,150195,3262.0
134,5.0,2015-02-24 04:07:50,2527,2504,22.0,22.0,29.0,255.0,144621,2523.0
135,5.0,2015-02-21 19:54:18,2527,2898,23.0,18.0,21.0,560.0,23370,2739.0
136,5.0,2015-02-25 00:13:06,2527,1997,8.0,1.0,1.0,810.0,65069,3033.0
137,5.0,2015-02-21 04:27:12,2527,2624,28.0,26.0,38.0,403.0,161216,2754.0
138,5.0,2015-02-20 20:41:15,2527,2089,27.0,13.0,24.0,277.0,205787,2406.0
139,5.0,2015-02-20 02:17:40,2527,2398,20.0,12.0,22.0,719.0,67034,3058.0
140,5.0,2015-02-25 00:28:04,2527,1603,10.0,4.0,4.0,671.0,27132,2864.0
141,5.0,2015-02-24 19:03:15,2527,3274,14.0,9.0,6.0,684.0,159340,2811.0
142,5.0,2015-02-25 04:03:06,2527,3848,24.0,22.0,27.0,536.0,23909,2791.0
143,3.0,2015-02-24 05:09:20,3468,1078,5.0,4.0,4.0,743.0,103640,3126.0
144,6.0,2015-02-22 03:44:54,5674,3085,,,,552.0,18684,
145,6.0,2015-02-24 03:07:53,5674,3490,,,,148.0,123503,
146,2.0,2015-02-23 20:15:38,2716,3245,43.0,43.0,65.0,444.0,215699,2738.0
147,2.0,2015-02-18 18:55:39,2716,918,28.0,26.0,34.0,763.0,38743,2883.0
148,2.0,2015-02-23 19:59:20,2716,10140,38.0,38.0,60.0,499.0,176092,2831.0
149,2.0,2015-02-23 19:01:35,2716,1887,17.0,16.0,25.0,550.0,128120,2709.0
150,2.0,2015-02-24 21:59:14,2716,1270,30.0,23.0,32.0,556.0,156578,2563.0
151,2.0,2015-02-24 20:15:57,2716,15913,47.0,37.0,40.0,641.0,209009,2411.0
152,2.0,2015-02-19 20:08:18,2716,1078,49.0,47.0,65.0,766.0,187370,2994.0
153,2.0,2015-02-22 01:51:01,4251,2084,98.0,97.0,174.0,618.0,75323,3837.0
154,2.0,2015-02-23 01:49:19,4251,3900,119.0,66.0,112.0,439.0,52973,2088.0
155,2.0,2015-02-21 01:44:44,4251,5200,112.0,103.0,165.0,616.0,29650,3327.0
156,2.0,2015-02-22 21:22:36,4251,1900,54.0,45.0,46.0,233.0,179356,1840.0
157,2.0,2015-02-20 03:24:21,4251,5900,99.0,74.0,114.0,509.0,178608,2556.0
158,2.0,2015-02-19 01:31:54,4251,4550,74.0,60.0,68.0,316.0,207917,1919.0
159,2.0,2015-02-22 01:13:42,4251,2900,67.0,67.0,103.0,673.0,188547,3201.0
160,2.0,2015-02-22 01:50:01,4251,7700,92.0,90.0,168.0,156.0,166420,3298.0
161,2.0,2015-02-20 02:26:16,1148,5700,75.0,57.0,80.0,874.0,185832,2871.0
162,2.0,2015-02-18 19:48:50,2716,1907,53.0,42.0,49.0,766.0,210556,2608.0
163,2.0,2015-02-23 17:23:58,2716,769,5.0,4.0,4.0,470.0,40504,2477.0
164,2.0,2015-02-18 18:20:43,2716,829,12.0,12.0,18.0,850.0,133183,3058.0
165,2.0,2015-02-23 01:37:03,4062,2020,51.0,39.0,50.0,580.0,137330,2457.0
166,2.0,2015-02-24 03:12:04,4062,2395,49.0,45.0,65.0,858.0,19965,3122.0
167,2.0,2015-02-23 20:09:31,4062,5020,42.0,42.0,66.0,673.0,250804,3071.0
168,2.0,2015-02-22 02:19:31,4062,3750,45.0,44.0,94.0,785.0,138734,3736.0
169,2.0,2015-02-19 21:07:17,4062,1650,43.0,41.0,44.0,593.0,194668,2488.0
170,2.0,2015-02-21 02:39:46,4062,5520,64.0,64.0,107.0,680.0,155801,3374.0
171,2.0,2015-02-19 21:17:21,4062,1000,43.0,32.0,35.0,687.0,107580,2474.0
172,2.0,2015-02-22 00:11:36,4062,6320,24.0,24.0,29.0,530.0,154422,2578.0
173,3.0,2015-02-20 01:39:00,280,1758,10.0,7.0,5.0,342.0,183822,2529.0
174,3.0,2015-02-22 03:14:14,280,1497,16.0,16.0,22.0,482.0,163290,2888.0
175,3.0,2015-02-25 03:27:18,280,3612,9.0,9.0,16.0,706.0,217400,3224.0
176,3.0,2015-02-22 21:03:49,280,3459,5.0,3.0,3.0,341.0,120970,2611.0
177,3.0,2015-02-22 20:07:23,280,1922,4.0,4.0,5.0,387.0,65203,2724.0
178,1.0,2015-02-23 00:21:43,2928,4500,27.0,26.0,34.0,929.0,137196,3598.0
179,6.0,2015-02-22 21:28:12,2928,1750,25.0,25.0,31.0,604.0,219945,2848.0
180,1.0,2015-02-19 03:28:11,132,899,26.0,26.0,33.0,470.0,55899,3025.0
181,1.0,2015-02-21 04:34:28,132,1700,26.0,26.0,35.0,781.0,150837,3455.0
182,1.0,2015-02-20 18:53:43,132,799,5.0,5.0,5.0,744.0,108775,3323.0
183,1.0,2015-02-23 01:38:59,132,1289,16.0,16.0,18.0,358.0,59364,2829.0
184,1.0,2015-02-22 03:28:39,2096,8520,49.0,48.0,81.0,677.0,17118,3707.0
185,1.0,2015-02-21 03:37:21,2096,2440,54.0,53.0,104.0,413.0,236470,3738.0
186,1.0,2015-02-22 05:41:28,2096,7317,21.0,14.0,31.0,489.0,189188,3186.0
187,1.0,2015-02-21 01:54:36,2096,3235,43.0,42.0,51.0,213.0,140565,2647.0
188,5.0,2015-02-20 18:51:33,5579,5575,11.0,5.0,7.0,543.0,101699,2743.0
189,6.0,2015-02-20 01:43:46,6153,2946,,,,216.0,11405,
190,3.0,2015-02-19 00:21:21,2009,3650,2.0,2.0,2.0,678.0,219240,3075.0
191,1.0,2015-02-24 21:29:10,2769,895,13.0,13.0,14.0,512.0,140545,3015.0
192,3.0,2015-02-23 18:18:34,5667,999,4.0,4.0,6.0,521.0,128509,2912.0
193,4.0,2015-02-19 01:34:11,4753,6384,48.0,48.0,75.0,398.0,245158,2815.0
194,4.0,2015-02-20 04:06:48,4753,2224,58.0,39.0,65.0,267.0,78399,2303.0
195,4.0,2015-02-25 02:59:53,4753,1228,58.0,58.0,81.0,336.0,123755,2602.0
196,4.0,2015-02-21 22:33:14,4753,3127,23.0,22.0,32.0,701.0,129145,2941.0
197,4.0,2015-02-21 19:52:44,4753,2978,35.0,23.0,32.0,427.0,159810,2358.0
198,4.0,2015-02-25 01:05:52,4753,3477,33.0,33.0,47.0,822.0,136485,3141.0
199,4.0,2015-02-23 02:22:10,4753,4116,84.0,58.0,98.0,456.0,53416,2605.0
200,4.0,2015-02-22 23:38:53,4753,1694,30.0,22.0,20.0,377.0,170020,2144.0
201,4.0,2015-02-20 01:20:07,4753,2229,57.0,52.0,62.0,368.0,179958,2296.0
202,2.0,2015-02-25 03:48:40,1148,3000,48.0,48.0,61.0,573.0,108585,2681.0
203,2.0,2015-02-21 01:13:49,1148,1650,43.0,42.0,55.0,760.0,82416,2924.0
204,2.0,2015-02-23 02:04:15,1148,1550,56.0,36.0,57.0,468.0,200750,2389.0
205,2.0,2015-02-22 21:18:00,1148,1200,41.0,41.0,52.0,419.0,248706,2482.0
206,2.0,2015-02-22 20:37:31,1148,2850,36.0,35.0,42.0,406.0,31344,2391.0
207,2.0,2015-02-21 02:06:37,1148,2100,62.0,61.0,91.0,757.0,176655,3188.0
208,2.0,2015-02-23 04:19:34,1148,2200,39.0,39.0,55.0,571.0,82150,2788.0
209,2.0,2015-02-25 03:07:58,4062,2875,49.0,34.0,50.0,629.0,179169,2591.0
210,2.0,2015-02-20 03:19:10,4062,4025,72.0,59.0,90.0,539.0,197725,2712.0
211,2.0,2015-02-23 00:52:43,4062,7200,32.0,32.0,36.0,869.0,214504,2938.0
212,4.0,2015-02-20 20:24:00,4062,2575,62.0,42.0,54.0,545.0,193705,2316.0
213,2.0,2015-02-24 20:39:36,4062,1025,46.0,42.0,46.0,498.0,121110,2347.0
214,2.0,2015-02-24 20:47:17,4062,1475,46.0,44.0,44.0,337.0,142674,2090.0
215,2.0,2015-02-18 19:34:32,4062,995,47.0,34.0,40.0,704.0,211752,2510.0
216,6.0,2015-02-24 03:02:48,3821,1100,,,,455.0,12305,
217,6.0,2015-02-19 03:57:20,3821,2425,,,,320.0,130027,
218,6.0,2015-02-24 04:09:32,3821,1200,,,,288.0,61821,
219,3.0,2015-02-21 03:42:15,1788,1849,0.0,0.0,0.0,758.0,36190,3184.0
220,3.0,2015-02-24 02:52:57,963,2910,45.0,37.0,37.0,379.0,61634,2369.0
221,3.0,2015-02-19 19:17:47,963,2400,15.0,10.0,15.0,451.0,69864,2760.0
222,1.0,2015-02-20 05:29:19,132,599,9.0,7.0,7.0,721.0,56565,3245.0
223,1.0,2015-02-19 05:44:34,132,1198,9.0,5.0,7.0,597.0,110424,3104.0
224,1.0,2015-02-24 22:14:16,132,1027,17.0,26.0,18.0,721.0,178376,3194.0
225,1.0,2015-02-22 00:25:01,132,3298,13.0,13.0,13.0,583.0,87462,3082.0
226,1.0,2015-02-22 03:54:40,3427,3200,32.0,32.0,34.0,743.0,23629,3228.0
227,4.0,2015-02-21 16:30:26,517,2365,7.0,6.0,6.0,872.0,58621,3021.0
228,4.0,2015-02-21 19:23:06,517,1715,27.0,18.0,23.0,549.0,209790,2508.0
229,1.0,2015-02-23 19:22:19,2769,1345,7.0,7.0,7.0,824.0,241239,3412.0
230,1.0,2015-02-22 20:36:57,1807,4000,3.0,3.0,3.0,494.0,189859,3022.0
231,1.0,2015-02-22 21:55:17,1807,2375,4.0,4.0,3.0,472.0,48243,2968.0
232,1.0,2015-02-20 19:17:59,1498,1075,17.0,22.0,34.0,606.0,9561,3419.0
233,2.0,2015-02-24 01:14:00,1904,1695,80.0,72.0,70.0,283.0,116257,1721.0
234,2.0,2015-02-25 03:24:43,1904,2490,115.0,112.0,154.0,688.0,19783,3061.0
235,2.0,2015-02-22 02:55:00,1904,1395,150.0,149.0,267.0,326.0,232532,4086.0
236,2.0,2015-02-23 00:59:54,1904,2985,94.0,79.0,100.0,634.0,103779,2477.0
237,1.0,2015-02-24 23:33:47,1904,2585,29.0,29.0,29.0,488.0,83907,2883.0
238,2.0,2015-02-20 03:21:25,1904,1990,139.0,92.0,159.0,213.0,94611,2242.0
239,2.0,2015-02-24 20:26:09,1904,1495,64.0,61.0,81.0,404.0,202607,2495.0
240,1.0,2015-02-24 01:47:04,2273,6085,48.0,46.0,48.0,406.0,162638,2698.0
241,1.0,2015-02-24 01:49:47,2273,20520,48.0,46.0,48.0,514.0,86212,2833.0
242,3.0,2015-02-21 02:53:56,4655,2485,17.0,14.0,13.0,781.0,98445,3062.0
243,3.0,2015-02-24 04:31:30,4655,2290,8.0,8.0,7.0,161.0,217780,2379.0
244,3.0,2015-02-20 03:44:05,4655,2290,10.0,5.0,4.0,437.0,42721,2640.0
245,3.0,2015-02-25 02:54:24,6922,4700,8.0,4.0,4.0,510.0,91240,2777.0
246,4.0,2015-02-19 02:44:27,4753,3267,68.0,40.0,77.0,433.0,100348,2564.0
247,4.0,2015-02-21 02:36:26,4753,1869,80.0,75.0,120.0,741.0,241228,3392.0
248,4.0,2015-02-22 02:15:19,4753,2138,71.0,66.0,143.0,258.0,136678,3520.0
249,4.0,2015-02-19 19:34:37,4753,3557,39.0,38.0,57.0,434.0,27892,2720.0
250,2.0,2015-02-22 04:28:31,1148,2200,36.0,33.0,65.0,571.0,208930,3101.0
251,2.0,2015-02-24 00:09:13,1148,1200,15.0,15.0,18.0,398.0,12431,2416.0
252,2.0,2015-02-23 02:41:40,1148,5250,61.0,57.0,84.0,423.0,96382,2669.0
253,2.0,2015-02-23 04:21:00,1148,2550,36.0,36.0,54.0,722.0,185251,3034.0
254,2.0,2015-02-23 03:07:36,1148,1650,63.0,62.0,72.0,472.0,77349,2401.0
255,2.0,2015-02-21 03:30:42,1148,4400,64.0,62.0,101.0,1079.0,120291,3756.0
256,2.0,2015-02-20 01:29:25,1148,3400,47.0,47.0,47.0,653.0,117404,2508.0
257,2.0,2015-02-24 03:22:46,1148,3400,51.0,48.0,61.0,989.0,93740,3140.0
258,2.0,2015-02-23 03:30:44,1148,1100,62.0,50.0,72.0,456.0,141359,2482.0
259,2.0,2015-02-21 19:01:01,1148,1200,22.0,19.0,19.0,414.0,151045,2293.0
260,1.0,2015-02-22 02:31:15,4320,5000,65.0,64.0,78.0,686.0,46182,3232.0
261,4.0,2015-02-21 20:51:58,6132,4600,56.0,47.0,57.0,351.0,135758,2222.0
262,4.0,2015-02-21 03:20:29,6132,4400,101.0,98.0,167.0,459.0,220438,3477.0
263,2.0,2015-02-23 02:54:40,4062,4245,62.0,61.0,80.0,823.0,59811,3035.0
264,4.0,2015-02-21 23:49:02,4062,2775,25.0,25.0,26.0,484.0,241229,2483.0
265,2.0,2015-02-20 01:35:44,4062,2875,57.0,53.0,60.0,702.0,122103,2610.0
266,3.0,2015-02-18 21:16:18,963,1605,18.0,15.0,16.0,749.0,59124,3060.0
267,4.0,2015-02-23 05:03:55,5171,2785,33.0,33.0,42.0,355.0,221087,2453.0
268,4.0,2015-02-23 19:44:48,5171,2090,53.0,53.0,77.0,800.0,237414,3226.0
269,4.0,2015-02-24 20:56:42,5171,3567,53.0,58.0,78.0,655.0,224423,3033.0
270,4.0,2015-02-23 05:08:40,5171,2690,32.0,32.0,41.0,810.0,24633,3025.0
271,4.0,2015-02-24 04:43:58,5171,1970,46.0,46.0,53.0,497.0,172377,2521.0
272,4.0,2015-02-22 23:11:08,5171,995,35.0,33.0,31.0,185.0,241250,1967.0
273,4.0,2015-02-21 01:28:43,5171,1895,66.0,64.0,109.0,279.0,151448,2931.0
274,4.0,2015-02-23 02:11:53,5171,1577,114.0,76.0,129.0,566.0,176434,2693.0
275,4.0,2015-02-19 02:11:43,5171,8670,95.0,93.0,125.0,85.0,193411,2266.0
276,4.0,2015-02-20 20:42:20,517,12664,64.0,57.0,62.0,183.0,127027,1895.0
277,4.0,2015-02-22 18:14:18,517,2250,8.0,6.0,7.0,505.0,48990,2566.0
278,4.0,2015-02-22 16:30:14,517,2525,3.0,3.0,6.0,355.0,85557,2476.0
279,4.0,2015-02-18 20:06:55,517,1565,39.0,38.0,62.0,433.0,53862,2825.0
280,4.0,2015-02-22 18:53:29,517,3525,18.0,10.0,10.0,194.0,35862,2019.0
281,4.0,2015-02-23 19:51:39,517,2645,33.0,32.0,56.0,375.0,188384,2784.0
282,4.0,2015-02-20 18:34:32,517,1750,11.0,10.0,11.0,347.0,191851,2369.0
283,4.0,2015-02-23 17:10:24,517,1950,6.0,2.0,1.0,728.0,147745,2782.0
284,4.0,2015-02-21 18:08:07,517,1615,10.0,9.0,9.0,482.0,12860,2520.0
285,1.0,2015-02-22 04:46:25,5226,2200,9.0,9.0,11.0,324.0,157442,2822.0
