market_id,created_at,store_id,subtotal,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_store_to_consumer_driving_duration,delivery_id
4,2015-02-21 22:24:03,6395,2543,53,51,56,860,103318
4,2015-02-19 22:17:31,6395,908,30,30,29,603,30810
4,2015-02-20 20:38:43,6395,450,101,86,124,484,235600
5,2015-02-22 02:17:27,3654,5545,26,26,50,802,232838
5,2015-02-23 03:13:45,3654,2498,25,23,34,726,43717
5,2015-02-25 01:57:46,3654,3596,23,8,11,746,189723
4,2015-02-22 00:40:19,4003,1595,51,51,73,334,145711
4,2015-02-20 01:10:16,4003,3384,90,68,82,552,135693
4,2015-02-20 02:21:47,4003,1475,117,111,175,404,198349
2,2015-02-20 03:19:24,4003,1289,109,104,186,644,228537
1,2015-02-23 00:45:03,6241,1228,4,4,5,169,195586
3,2015-02-21 20:20:26,3155,890,21,21,17,311,246298
3,2015-02-21 17:02:13,3155,1775,7,7,6,603,65385
3,2015-02-20 19:38:25,3155,3490,23,20,27,329,169707
3,2015-02-23 02:33:30,3155,3200,56,56,59,574,157796
5,2015-02-21 03:16:23,2527,5796,31,30,46,519,107044
5,2015-02-21 19:42:26,2527,4099,21,17,19,687,53434
5,2015-02-23 03:32:54,2527,1099,30,21,33,466,223440
5,2015-02-23 03:46:23,2527,1249,29,22,29,609,121112
5,2015-02-23 20:12:59,2527,1149,19,19,37,281,145842
5,2015-02-21 02:35:32,3654,3596,29,28,47,850,219061
5,2015-02-21 02:59:06,3654,3197,30,30,44,444,102424
3,2015-02-18 17:18:50,2183,1149,0,0,0,730,175748
3,2015-02-22 23:07:03,2183,1798,0,0,0,681,193925
6,2015-02-20 22:38:54,2652,1597,NA,NA,NA,149,39559
6,2015-02-21 16:24:36,2652,898,NA,NA,NA,784,210792
6,2015-02-24 17:16:19,2652,1295,NA,NA,NA,560,114490
5,2015-02-25 00:41:44,2527,0,12,4,4,236,102883
5,2015-02-19 03:00:32,2527,2996,26,21,28,385,169126
5,2015-02-20 03:23:42,2527,2300,26,24,34,547,107458
5,2015-02-22 01:07:30,2527,3555,16,16,26,722,11700
5,2015-02-25 03:20:39,2527,2884,23,13,26,867,150195
5,2015-02-24 04:07:50,2527,2504,22,22,29,255,144621
5,2015-02-21 19:54:18,2527,2898,23,18,21,560,23370
5,2015-02-25 00:13:06,2527,1997,8,1,1,810,65069
5,2015-02-21 04:27:12,2527,2624,28,26,38,403,161216
5,2015-02-20 20:41:15,2527,2089,27,13,24,277,205787
5,2015-02-20 02:17:40,2527,2398,20,12,22,719,67034
5,2015-02-25 00:28:04,2527,1603,10,4,4,671,27132
5,2015-02-24 19:03:15,2527,3274,14,9,6,684,159340
5,2015-02-25 04:03:06,2527,3848,24,22,27,536,23909
3,2015-02-24 05:09:20,3468,1078,5,4,4,743,103640
6,2015-02-22 03:44:54,5674,3085,NA,NA,NA,552,18684
6,2015-02-24 03:07:53,5674,3490,NA,NA,NA,148,123503
2,2015-02-23 20:15:38,2716,3245,43,43,65,444,215699
2,2015-02-18 18:55:39,2716,918,28,26,34,763,38743
2,2015-02-23 19:59:20,2716,10140,38,38,60,499,176092
2,2015-02-23 19:01:35,2716,1887,17,16,25,550,128120
2,2015-02-24 21:59:14,2716,1270,30,23,32,556,156578
2,2015-02-24 20:15:57,2716,15913,47,37,40,641,209009
2,2015-02-19 20:08:18,2716,1078,49,47,65,766,187370
2,2015-02-22 01:51:01,4251,2084,98,97,174,618,75323
2,2015-02-23 01:49:19,4251,3900,119,66,112,439,52973
2,2015-02-21 01:44:44,4251,5200,112,103,165,616,29650
2,2015-02-22 21:22:36,4251,1900,54,45,46,233,179356
2,2015-02-20 03:24:21,4251,5900,99,74,114,509,178608
2,2015-02-19 01:31:54,4251,4550,74,60,68,316,207917
2,2015-02-22 01:13:42,4251,2900,67,67,103,673,188547
2,2015-02-22 01:50:01,4251,7700,92,90,168,156,166420
2,2015-02-20 02:26:16,1148,5700,75,57,80,874,185832
2,2015-02-18 19:48:50,2716,1907,53,42,49,766,210556
2,2015-02-23 17:23:58,2716,769,5,4,4,470,40504
2,2015-02-18 18:20:43,2716,829,12,12,18,850,133183
2,2015-02-23 01:37:03,4062,2020,51,39,50,580,137330
2,2015-02-24 03:12:04,4062,2395,49,45,65,858,19965
2,2015-02-23 20:09:31,4062,5020,42,42,66,673,250804
2,2015-02-22 02:19:31,4062,3750,45,44,94,785,138734
2,2015-02-19 21:07:17,4062,1650,43,41,44,593,194668
2,2015-02-21 02:39:46,4062,5520,64,64,107,680,155801
2,2015-02-19 21:17:21,4062,1000,43,32,35,687,107580
2,2015-02-22 00:11:36,4062,6320,24,24,29,530,154422
3,2015-02-20 01:39:00,280,1758,10,7,5,342,183822
3,2015-02-22 03:14:14,280,1497,16,16,22,482,163290
3,2015-02-25 03:27:18,280,3612,9,9,16,706,217400
3,2015-02-22 21:03:49,280,3459,5,3,3,341,120970
3,2015-02-22 20:07:23,280,1922,4,4,5,387,65203
1,2015-02-23 00:21:43,2928,4500,27,26,34,929,137196
6,2015-02-22 21:28:12,2928,1750,25,25,31,604,219945
1,2015-02-19 03:28:11,132,899,26,26,33,470,55899
1,2015-02-21 04:34:28,132,1700,26,26,35,781,150837
1,2015-02-20 18:53:43,132,799,5,5,5,744,108775
1,2015-02-23 01:38:59,132,1289,16,16,18,358,59364
1,2015-02-22 03:28:39,2096,8520,49,48,81,677,17118
1,2015-02-21 03:37:21,2096,2440,54,53,104,413,236470
1,2015-02-22 05:41:28,2096,7317,21,14,31,489,189188
1,2015-02-21 01:54:36,2096,3235,43,42,51,213,140565
5,2015-02-20 18:51:33,5579,5575,11,5,7,543,101699
6,2015-02-20 01:43:46,6153,2946,NA,NA,NA,216,11405
3,2015-02-19 00:21:21,2009,3650,2,2,2,678,219240
1,2015-02-24 21:29:10,2769,895,13,13,14,512,140545
3,2015-02-23 18:18:34,5667,999,4,4,6,521,128509
4,2015-02-19 01:34:11,4753,6384,48,48,75,398,245158
4,2015-02-20 04:06:48,4753,2224,58,39,65,267,78399
4,2015-02-25 02:59:53,4753,1228,58,58,81,336,123755
4,2015-02-21 22:33:14,4753,3127,23,22,32,701,129145
4,2015-02-21 19:52:44,4753,2978,35,23,32,427,159810
4,2015-02-25 01:05:52,4753,3477,33,33,47,822,136485
4,2015-02-23 02:22:10,4753,4116,84,58,98,456,53416
4,2015-02-22 23:38:53,4753,1694,30,22,20,377,170020
4,2015-02-20 01:20:07,4753,2229,57,52,62,368,179958
2,2015-02-25 03:48:40,1148,3000,48,48,61,573,108585
2,2015-02-21 01:13:49,1148,1650,43,42,55,760,82416
2,2015-02-23 02:04:15,1148,1550,56,36,57,468,200750
2,2015-02-22 21:18:00,1148,1200,41,41,52,419,248706
2,2015-02-22 20:37:31,1148,2850,36,35,42,406,31344
2,2015-02-21 02:06:37,1148,2100,62,61,91,757,176655
2,2015-02-23 04:19:34,1148,2200,39,39,55,571,82150
2,2015-02-25 03:07:58,4062,2875,49,34,50,629,179169
2,2015-02-20 03:19:10,4062,4025,72,59,90,539,197725
2,2015-02-23 00:52:43,4062,7200,32,32,36,869,214504
4,2015-02-20 20:24:00,4062,2575,62,42,54,545,193705
2,2015-02-24 20:39:36,4062,1025,46,42,46,498,121110
2,2015-02-24 20:47:17,4062,1475,46,44,44,337,142674
2,2015-02-18 19:34:32,4062,995,47,34,40,704,211752
6,2015-02-24 03:02:48,3821,1100,NA,NA,NA,455,12305
6,2015-02-19 03:57:20,3821,2425,NA,NA,NA,320,130027
6,2015-02-24 04:09:32,3821,1200,NA,NA,NA,288,61821
3,2015-02-21 03:42:15,1788,1849,0,0,0,758,36190
3,2015-02-24 02:52:57,963,2910,45,37,37,379,61634
3,2015-02-19 19:17:47,963,2400,15,10,15,451,69864
1,2015-02-20 05:29:19,132,599,9,7,7,721,56565
1,2015-02-19 05:44:34,132,1198,9,5,7,597,110424
1,2015-02-24 22:14:16,132,1027,17,26,18,721,178376
1,2015-02-22 00:25:01,132,3298,13,13,13,583,87462
1,2015-02-22 03:54:40,3427,3200,32,32,34,743,23629
4,2015-02-21 16:30:26,517,2365,7,6,6,872,58621
4,2015-02-21 19:23:06,517,1715,27,18,23,549,209790
1,2015-02-23 19:22:19,2769,1345,7,7,7,824,241239
1,2015-02-22 20:36:57,1807,4000,3,3,3,494,189859
1,2015-02-22 21:55:17,1807,2375,4,4,3,472,48243
1,2015-02-20 19:17:59,1498,1075,17,22,34,606,9561
2,2015-02-24 01:14:00,1904,1695,80,72,70,283,116257
2,2015-02-25 03:24:43,1904,2490,115,112,154,688,19783
2,2015-02-22 02:55:00,1904,1395,150,149,267,326,232532
2,2015-02-23 00:59:54,1904,2985,94,79,100,634,103779
1,2015-02-24 23:33:47,1904,2585,29,29,29,488,83907
2,2015-02-20 03:21:25,1904,1990,139,92,159,213,94611
2,2015-02-24 20:26:09,1904,1495,64,61,81,404,202607
1,2015-02-24 01:47:04,2273,6085,48,46,48,406,162638
1,2015-02-24 01:49:47,2273,20520,48,46,48,514,86212
3,2015-02-21 02:53:56,4655,2485,17,14,13,781,98445
3,2015-02-24 04:31:30,4655,2290,8,8,7,161,217780
3,2015-02-20 03:44:05,4655,2290,10,5,4,437,42721
3,2015-02-25 02:54:24,6922,4700,8,4,4,510,91240
4,2015-02-19 02:44:27,4753,3267,68,40,77,433,100348
4,2015-02-21 02:36:26,4753,1869,80,75,120,741,241228
4,2015-02-22 02:15:19,4753,2138,71,66,143,258,136678
4,2015-02-19 19:34:37,4753,3557,39,38,57,434,27892
2,2015-02-22 04:28:31,1148,2200,36,33,65,571,208930
2,2015-02-24 00:09:13,1148,1200,15,15,18,398,12431
2,2015-02-23 02:41:40,1148,5250,61,57,84,423,96382
2,2015-02-23 04:21:00,1148,2550,36,36,54,722,185251
2,2015-02-23 03:07:36,1148,1650,63,62,72,472,77349
2,2015-02-21 03:30:42,1148,4400,64,62,101,1079,120291
2,2015-02-20 01:29:25,1148,3400,47,47,47,653,117404
2,2015-02-24 03:22:46,1148,3400,51,48,61,989,93740
2,2015-02-23 03:30:44,1148,1100,62,50,72,456,141359
2,2015-02-21 19:01:01,1148,1200,22,19,19,414,151045
1,2015-02-22 02:31:15,4320,5000,65,64,78,686,46182
4,2015-02-21 20:51:58,6132,4600,56,47,57,351,135758
4,2015-02-21 03:20:29,6132,4400,101,98,167,459,220438
2,2015-02-23 02:54:40,4062,4245,62,61,80,823,59811
4,2015-02-21 23:49:02,4062,2775,25,25,26,484,241229
2,2015-02-20 01:35:44,4062,2875,57,53,60,702,122103
3,2015-02-18 21:16:18,963,1605,18,15,16,749,59124
4,2015-02-23 05:03:55,5171,2785,33,33,42,355,221087
4,2015-02-23 19:44:48,5171,2090,53,53,77,800,237414
4,2015-02-24 20:56:42,5171,3567,53,58,78,655,224423
4,2015-02-23 05:08:40,5171,2690,32,32,41,810,24633
4,2015-02-24 04:43:58,5171,1970,46,46,53,497,172377
4,2015-02-22 23:11:08,5171,995,35,33,31,185,241250
4,2015-02-21 01:28:43,5171,1895,66,64,109,279,151448
4,2015-02-23 02:11:53,5171,1577,114,76,129,566,176434
4,2015-02-19 02:11:43,5171,8670,95,93,125,85,193411
4,2015-02-20 20:42:20,517,12664,64,57,62,183,127027
4,2015-02-22 18:14:18,517,2250,8,6,7,505,48990
4,2015-02-22 16:30:14,517,2525,3,3,6,355,85557
4,2015-02-18 20:06:55,517,1565,39,38,62,433,53862
4,2015-02-22 18:53:29,517,3525,18,10,10,194,35862
4,2015-02-23 19:51:39,517,2645,33,32,56,375,188384
4,2015-02-20 18:34:32,517,1750,11,10,11,347,191851
4,2015-02-23 17:10:24,517,1950,6,2,1,728,147745
4,2015-02-21 18:08:07,517,1615,10,9,9,482,12860
1,2015-02-22 04:46:25,5226,2200,9,9,11,324,157442
1,2015-02-20 03:09:04,5226,2200,13,13,16,853,230223
1,2015-02-22 03:21:45,5226,3350,11,11,18,867,21927
5,2015-02-24 01:28:45,2863,4697,11,11,15,701,103540
5,2015-02-25 04:01:09,2863,1599,25,12,16,411,193208
3,2015-02-20 20:06:42,3677,2495,6,6,4,328,239922
4,2015-02-20 21:00:09,5152,6805,82,61,82,784,143801
4,2015-02-24 20:11:15,5152,4200,70,70,118,795,207489
4,2015-02-21 21:49:33,5152,700,54,44,64,805,6473
4,2015-02-19 23:04:17,5152,2800,22,21,31,327,136591
4,2015-02-23 20:52:12,5152,2535,72,69,103,792,135971
2,2015-02-24 20:22:18,1904,1595,63,63,82,664,222777
2,2015-02-19 04:22:05,1904,2985,84,82,96,376,198316
4,2015-02-24 00:05:00,1904,2385,32,32,35,477,189341
1,2015-02-20 00:46:24,4031,4775,7,6,6,523,152892
2,2015-02-20 04:48:03,3220,3800,38,38,42,875,250785
4,2015-02-23 19:18:57,4753,1428,27,25,39,162,240055
4,2015-02-19 00:24:18,4753,1776,17,15,16,348,92408
6,2015-02-22 21:07:01,4476,1350,NA,NA,NA,680,40677
6,2015-02-23 22:52:19,4476,2550,NA,NA,NA,280,163281
6,2015-02-18 20:51:37,4476,1724,NA,NA,NA,874,115945
3,2015-02-19 04:05:07,1808,640,14,14,14,289,94118
5,2015-02-20 20:33:30,1808,690,15,12,11,133,134074
5,2015-02-22 17:26:45,1540,995,4,4,5,310,25299
2,2015-02-24 22:58:52,1540,1855,8,5,5,456,53356
5,2015-02-22 00:15:47,1540,820,7,6,8,720,250444
5,2015-02-22 00:38:39,1540,590,10,6,11,361,195890
4,2015-02-20 21:03:14,6313,2315,62,44,56,516,188668
4,2015-02-21 20:37:28,6313,1240,57,51,71,634,212598
4,2015-02-21 17:24:32,6313,2905,10,7,9,513,102668
4,2015-02-21 04:04:00,6313,1390,99,95,170,74,189764
4,2015-02-22 16:38:00,6313,2685,8,8,12,193,244553
4,2015-02-19 02:19:24,6313,2240,94,91,129,388,204446
4,2015-02-20 22:47:50,6313,1735,20,20,22,558,111800
4,2015-02-22 21:45:29,6313,795,54,42,45,563,160579
4,2015-02-19 18:00:12,6313,3530,11,9,9,448,194443
4,2015-02-22 19:45:27,6313,5185,49,41,43,303,59646
4,2015-02-18 19:38:18,6313,1095,52,52,97,310,66319
4,2015-02-21 05:23:34,6313,1195,49,48,54,167,139928
4,2015-02-25 03:48:52,6313,795,80,80,112,527,248842
1,2015-02-21 04:17:04,6359,895,56,43,50,880,211824
3,2015-02-25 05:29:38,1384,2144,3,3,1,162,27482
3,2015-02-21 20:03:02,1384,1910,7,4,3,270,171183
3,2015-02-22 02:44:17,1384,4035,16,16,17,533,103892
3,2015-02-21 21:54:57,1384,2625,6,2,2,721,222299
5,2015-02-21 03:44:35,562,3440,25,23,51,162,244010
5,2015-02-25 03:02:51,562,3785,20,8,17,258,136916
5,2015-02-21 02:28:52,562,3340,24,19,33,498,55833
5,2015-02-24 22:37:34,562,2740,7,5,5,355,8758
5,2015-02-19 04:09:09,5547,1983,20,15,18,646,158618
5,2015-02-23 23:24:52,5547,1099,7,7,10,414,136519
5,2015-02-23 02:55:04,5547,3899,28,27,43,361,171698
5,2015-02-24 03:06:21,5547,1612,15,15,23,541,240789
5,2015-02-19 00:39:20,5547,819,10,10,13,416,157201
5,2015-02-24 22:41:03,5547,999,10,7,7,552,152688
5,2015-02-19 21:48:34,5547,2905,11,10,11,471,137620
2,2015-02-21 23:33:57,6740,820,59,57,70,378,197260
2,2015-02-22 21:58:28,6740,785,69,66,80,516,124128
2,2015-02-19 23:16:44,6740,1346,36,33,36,376,140202
2,2015-02-21 03:57:30,6740,400,157,155,207,360,118753
2,2015-02-21 18:55:08,6740,1624,48,42,41,412,181270
2,2015-02-19 22:13:41,6740,885,40,31,34,558,167801
2,2015-02-25 02:16:56,6740,1184,99,90,123,424,182382
2,2015-02-23 01:13:48,6740,1010,112,102,123,714,235342
2,2015-02-23 05:52:01,6740,1000,30,28,38,558,152904
2,2015-02-22 04:50:55,6740,710,80,79,119,681,35272
2,2015-02-23 05:28:03,6740,990,44,44,66,659,206932
2,2015-02-20 21:48:18,6740,584,62,38,38,464,16819
2,2015-02-20 22:57:11,6740,1630,29,27,32,585,194357
2,2015-02-20 03:54:47,6740,905,120,98,144,279,94719
2,2015-02-21 04:34:21,6740,480,134,132,176,647,4929
2,2015-02-24 01:21:02,6740,829,85,81,87,345,64916
2,2015-02-23 20:35:00,6740,739,48,48,84,698,236931
2,2015-02-24 18:48:07,6740,919,22,22,27,356,54168
2,2015-02-24 03:49:23,6740,830,92,88,123,460,106837
4,2015-02-23 03:34:37,6132,3200,91,67,107,563,127746
4,2015-02-25 02:59:29,6132,3800,81,79,123,986,21005
4,2015-02-22 02:38:58,6132,3000,88,88,186,963,188234
4,2015-02-21 02:57:01,6132,2550,100,99,175,790,82056
4,2015-02-19 02:26:16,6132,3000,100,89,133,1050,53024
4,2015-02-22 02:06:07,6132,2100,79,78,149,445,205370
4,2015-02-22 02:30:44,6132,4100,86,85,180,622,168149
4,2015-02-21 20:20:19,6132,1100,56,50,69,196,161822
4,2015-02-21 19:42:15,6132,1100,53,45,61,322,143452
4,2015-02-19 19:34:54,6132,1800,61,59,92,729,137104
4,2015-02-23 20:06:00,6132,900,56,56,93,712,212186
2,2015-02-20 21:20:01,4062,1325,51,41,43,538,238432
2,2015-02-23 19:09:16,4062,5550,22,20,34,264,20070
2,2015-02-21 02:32:58,4062,2775,64,63,105,578,177731
2,2015-02-22 01:22:06,4062,2475,38,37,56,998,70438
2,2015-02-20 03:40:47,4062,5025,67,45,71,353,203889
4,2015-02-21 02:36:41,5171,1895,99,99,175,195,224579
4,2015-02-22 19:28:03,5171,995,47,32,35,964,101219
4,2015-02-23 02:49:43,5171,1495,103,74,128,178,32270
4,2015-02-19 04:05:12,5171,4560,80,77,95,705,87848
4,2015-02-19 21:15:59,5171,3651,45,46,48,527,19441
4,2015-02-19 19:20:42,517,1125,31,30,59,514,75916
4,2015-02-22 18:07:07,517,3215,8,6,6,396,18620
4,2015-02-19 19:01:24,517,1520,24,19,21,433,184259
4,2015-02-22 17:01:59,517,2095,4,4,7,537,8303
1,2015-02-21 21:13:54,429,942,26,26,31,696,214187
1,2015-02-24 02:29:56,429,790,61,59,61,622,246158
1,2015-02-25 02:42:48,429,1132,66,54,56,606,177177
4,2015-02-21 02:03:29,5152,2075,128,127,214,721,218619
4,2015-02-20 21:27:48,5152,900,63,48,50,669,53379
4,2015-02-23 18:05:49,5152,4000,12,10,10,859,7886
4,2015-02-19 21:54:08,5152,2650,41,29,35,618,121150
4,2015-02-23 21:41:34,5152,2150,49,46,47,690,102023
4,2015-02-20 22:44:23,5152,2297,27,32,30,730,118219
4,2015-02-20 22:03:02,5152,4330,42,31,36,426,72829
4,2015-02-22 19:54:35,4616,2125,36,29,29,449,247531
4,2015-02-21 01:06:48,4616,4435,56,31,58,616,96588
4,2015-02-21 03:09:32,4616,5953,96,81,134,389,39375
4,2015-02-22 01:04:39,4616,8555,45,43,70,406,52216
4,2015-02-24 03:07:22,4616,2360,56,41,62,494,168618
4,2015-02-22 21:25:15,4616,2570,40,33,31,873,39706
4,2015-02-23 02:50:38,4616,2440,77,66,95,371,164276
4,2015-02-21 01:18:18,4616,2821,55,45,85,680,53259
2,2015-02-21 03:46:01,3220,2525,61,59,82,878,217804
1,2015-02-19 01:29:36,3220,7200,43,37,43,385,89410
4,2015-02-25 01:38:40,3404,1745,45,45,65,839,158044
4,2015-02-23 03:36:25,3404,1440,69,48,70,665,56055
4,2015-02-21 01:19:03,6045,1724,94,77,128,341,41749
4,2015-02-20 20:33:01,6045,1338,102,85,129,745,105025
4,2015-02-19 23:11:19,6045,1327,21,21,37,861,29873
6,2015-02-22 01:42:07,4476,2700,NA,NA,NA,556,6063
6,2015-02-22 23:45:14,4476,1125,NA,NA,NA,510,163196
2,2015-02-22 06:29:30,283,1699,10,10,15,645,34762
2,2015-02-18 20:02:48,283,4294,59,48,56,390,118310
2,2015-02-20 20:03:13,283,3698,62,56,72,540,5501
2,2015-02-23 03:01:14,283,1699,61,60,75,862,55113
2,2015-02-25 01:43:30,283,1945,49,38,46,862,135783
2,2015-02-24 03:28:21,283,1786,55,59,74,525,214894
6,2015-02-22 01:43:20,6852,1900,NA,NA,NA,784,210755
5,2015-02-20 01:32:39,2742,1750,21,21,23,752,205745
1,2015-02-19 02:30:35,6025,10044,55,47,63,411,71193
1,2015-02-24 03:19:23,6025,2700,34,34,44,385,2293
1,2015-02-24 01:29:28,6025,2604,25,32,39,415,136901
1,2015-02-25 02:27:24,6025,6500,44,44,47,477,207828
1,2015-02-23 21:09:24,6025,1800,21,21,38,854,228620
1,2015-02-19 19:44:05,6025,9775,26,26,32,520,145958
1,2015-02-25 02:20:52,6025,2300,42,41,42,632,97051
1,2015-02-18 19:42:41,6025,1454,28,29,12,486,105858
1,2015-02-20 21:35:41,6025,1200,25,19,21,448,85860
1,2015-02-22 01:01:43,6025,1750,37,35,27,473,136380
2,2015-02-25 03:19:18,5003,1865,110,107,154,266,9374
2,2015-02-21 01:55:20,5003,1870,134,129,230,614,50007
2,2015-02-24 03:36:08,5003,6795,102,92,135,893,48288
2,2015-02-25 02:29:23,5003,4163,116,96,142,607,119024
